"","bet","odds","datetime","url","bet.subject","time.of.day","numerator.bet","denominator.bet","probability","date","country"
"35","Leave","5/2","2016-03-05T03:43:30Z","https://web.archive.org/web/20160305034330/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,5,2,0.285714285714286,2016-03-05,"United Kingdom"
"36","Remain","4/11","2016-03-06T16:08:38Z","https://web.archive.org/web/20160306160838/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,11,0.733333333333333,2016-03-06,"United Kingdom"
"37","Leave","5/2","2016-03-06T16:08:38Z","https://web.archive.org/web/20160306160838/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,5,2,0.285714285714286,2016-03-06,"United Kingdom"
"38",NA,NA,"2016-03-06T18:50:46Z",NA,"referendum-on-eu-membership-result, eu-referendum",NA,NA,NA,NA,2016-03-06,"United Kingdom"
"39","Remain","4/11","2016-03-09T23:57:32Z","https://web.archive.org/web/20160309235732/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,11,0.733333333333333,2016-03-09,"United Kingdom"
"40","Leave","12/5","2016-03-09T23:57:32Z","https://web.archive.org/web/20160309235732/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,12,5,0.294117647058824,2016-03-09,"United Kingdom"
"41","Remain","1/3","2016-03-10T07:48:34Z","https://web.archive.org/web/20160310074834/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,1,3,0.75,2016-03-10,"United Kingdom"
"42","Leave","12/5","2016-03-10T07:48:34Z","https://web.archive.org/web/20160310074834/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,12,5,0.294117647058824,2016-03-10,"United Kingdom"
"43","Remain","4/11","2016-03-12T04:19:54Z","https://web.archive.org/web/20160312041954/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,11,0.733333333333333,2016-03-12,"United Kingdom"
"44","Leave","12/5","2016-03-12T04:19:54Z","https://web.archive.org/web/20160312041954/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,12,5,0.294117647058824,2016-03-12,"United Kingdom"
"45","Remain","2/5","2016-03-17T00:54:12Z","https://web.archive.org/web/20160317005412/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,5,0.714285714285714,2016-03-17,"United Kingdom"
"46","Leave","2/1","2016-03-17T00:54:12Z","https://web.archive.org/web/20160317005412/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,1,0.333333333333333,2016-03-17,"United Kingdom"
"47","Remain","2/5","2016-03-18T00:16:53Z","https://web.archive.org/web/20160318001653/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,5,0.714285714285714,2016-03-18,"United Kingdom"
"48","Leave","21/10","2016-03-18T00:16:53Z","https://web.archive.org/web/20160318001653/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,21,10,0.32258064516129,2016-03-18,"United Kingdom"
"49","Remain","2/5","2016-03-18T11:06:17Z","https://web.archive.org/web/20160318110617/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,5,0.714285714285714,2016-03-18,"United Kingdom"
"50","Leave","21/10","2016-03-18T11:06:17Z","https://web.archive.org/web/20160318110617/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,21,10,0.32258064516129,2016-03-18,"United Kingdom"
"51","Remain","7/19","2016-03-22T01:50:08Z","https://web.archive.org/web/20160322015008/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,7,19,0.730769230769231,2016-03-22,"United Kingdom"
"52","Leave","2/1","2016-03-22T01:50:08Z","https://web.archive.org/web/20160322015008/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,1,0.333333333333333,2016-03-22,"United Kingdom"
"53","Remain","4/9","2016-03-23T00:40:25Z","https://web.archive.org/web/20160323004025/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result?","referendum-on-eu-membership-result, eu-referendum",NA,4,9,0.692307692307692,2016-03-23,"United Kingdom"
"54","Leave","15/8","2016-03-23T00:40:25Z","https://web.archive.org/web/20160323004025/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result?","referendum-on-eu-membership-result, eu-referendum",NA,15,8,0.347826086956522,2016-03-23,"United Kingdom"
"55","Remain","4/9","2016-03-23T15:47:41Z","https://web.archive.org/web/20160323154741/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,9,0.692307692307692,2016-03-23,"United Kingdom"
"56","Leave","15/8","2016-03-23T15:47:41Z","https://web.archive.org/web/20160323154741/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,15,8,0.347826086956522,2016-03-23,"United Kingdom"
"57","Remain","4/9","2016-03-24T01:18:58Z","https://web.archive.org/web/20160324011858/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,9,0.692307692307692,2016-03-24,"United Kingdom"
"58","Leave","15/8","2016-03-24T01:18:58Z","https://web.archive.org/web/20160324011858/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,15,8,0.347826086956522,2016-03-24,"United Kingdom"
"59",NA,NA,"2016-03-27T20:17:59Z",NA,"referendum-on-eu-membership-result, eu-referendum",NA,NA,NA,NA,2016-03-27,"United Kingdom"
"60","Remain","2/5","2016-03-29T09:52:35Z","https://web.archive.org/web/20160329095235/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,5,0.714285714285714,2016-03-29,"United Kingdom"
